lecture_name,config_name,exponential_scaling,confidence_boost,context_similarity,sentence_length,accuracy,correct,evaluated,mae,rmse,time,status
cryptocurrency,All Features,True,True,True,True,0.722,361,500,0.452,1.147170431975999,62.6621310710907,success
cryptocurrency,No Exponential Scaling,False,True,True,True,0.644,322,500,0.53,1.1806777714516352,0.05159139633178711,success
cryptocurrency,No Confidence Boost,True,False,True,True,0.582,291,500,0.68,1.3114877048604001,0.0525815486907959,success
cryptocurrency,No Context Similarity,True,True,False,True,0.666,333,500,0.508,1.1713240371477058,0.03520965576171875,success
cryptocurrency,No Sentence Length Filter,True,True,True,False,0.722,361,500,0.452,1.147170431975999,0.05141448974609375,success
cryptocurrency,No Features,False,False,False,False,0.596,298,500,0.658,1.284523257866513,0.03450584411621094,success
psychology,All Features,True,True,True,True,0.6215005599104143,555,893,0.458006718924972,0.8066076502586416,89.35207605361938,success
psychology,No Exponential Scaling,False,True,True,True,0.6382978723404256,570,893,0.45464725643896975,0.8210555029093848,0.06710195541381836,success
psychology,No Confidence Boost,True,False,True,True,0.6371780515117581,569,893,0.43784994400895855,0.7855070188074355,0.06706380844116211,success
psychology,No Context Similarity,True,True,False,True,0.6215005599104143,555,893,0.458006718924972,0.8066076502586416,0.04457712173461914,success
psychology,No Sentence Length Filter,True,True,True,False,0.620380739081747,554,893,0.45912653975363943,0.8073015064301778,0.06744670867919922,success
psychology,No Features,False,False,False,False,0.6382978723404256,570,893,0.43673012318029114,0.7847938938135778,0.044359683990478516,success
reinforcement_learning,All Features,True,True,True,True,0.6827643630308077,820,1201,0.9492089925062448,2.1952943391802773,79.13639235496521,success
reinforcement_learning,No Exponential Scaling,False,True,True,True,0.5936719400499584,713,1201,1.4163197335553706,2.9597634759338636,0.09507894515991211,success
reinforcement_learning,No Confidence Boost,True,False,True,True,0.5961698584512906,716,1201,1.408825978351374,2.9559632216690583,0.09528374671936035,success
reinforcement_learning,No Context Similarity,True,True,False,True,0.6827643630308077,820,1201,0.929225645295587,2.1770125968386904,0.06335926055908203,success
reinforcement_learning,No Sentence Length Filter,True,True,True,False,0.6827643630308077,820,1201,0.9492089925062448,2.1952943391802773,0.09528589248657227,success
reinforcement_learning,No Features,False,False,False,False,0.5953372189841799,715,1201,1.4096586178184847,2.956104058947727,0.06334042549133301,success
cognitive_robotics_MIT,All Features,True,True,True,True,0.6204081632653061,456,735,0.5931972789115646,1.0613814640575263,77.63437843322754,success
cognitive_robotics_MIT,No Exponential Scaling,False,True,True,True,0.5918367346938775,435,735,0.5333333333333333,0.8929047606349884,0.05579638481140137,success
cognitive_robotics_MIT,No Confidence Boost,True,False,True,True,0.6285714285714286,462,735,0.5891156462585034,1.0620222014923157,0.05732583999633789,success
cognitive_robotics_MIT,No Context Similarity,True,True,False,True,0.617687074829932,454,735,0.5959183673469388,1.062662552591495,0.03895878791809082,success
cognitive_robotics_MIT,No Sentence Length Filter,True,True,True,False,0.6217687074829932,457,735,0.5931972789115646,1.062662552591495,0.059934377670288086,success
cognitive_robotics_MIT,No Features,False,False,False,False,0.6027210884353742,443,735,0.44761904761904764,0.7404723625685776,0.04059028625488281,success
ML_for_health,All Features,True,True,True,True,0.869120654396728,425,489,0.3006134969325153,3.4626254563733494,101.61024808883667,success
ML_for_health,No Exponential Scaling,False,True,True,True,0.8711656441717791,426,489,0.2903885480572597,3.4587844951729907,0.06132340431213379,success
ML_for_health,No Confidence Boost,True,False,True,True,0.8670756646216768,424,489,0.294478527607362,3.4593756898606984,0.0613248348236084,success
ML_for_health,No Context Similarity,True,True,False,True,0.8629856850715747,422,489,0.3067484662576687,3.463511227129183,0.041327714920043945,success
ML_for_health,No Sentence Length Filter,True,True,True,False,0.8711656441717791,426,489,0.2985685071574642,3.4623301490975256,0.06212329864501953,success
ML_for_health,No Features,False,False,False,False,0.8588957055214724,420,489,0.30265848670756645,3.4605577762406146,0.04110884666442871,success
climate_science_policy,All Features,True,True,True,True,0.9124087591240876,250,274,0.10948905109489052,0.4756862119746312,36.21822166442871,success
climate_science_policy,No Exponential Scaling,False,True,True,True,0.9124087591240876,250,274,0.10948905109489052,0.4756862119746312,0.0647878646850586,success
climate_science_policy,No Confidence Boost,True,False,True,True,0.9124087591240876,250,274,0.10948905109489052,0.4756862119746312,0.06629586219787598,success
climate_science_policy,No Context Similarity,True,True,False,True,0.9087591240875912,249,274,0.11313868613138686,0.4795070461414202,0.044596195220947266,success
climate_science_policy,No Sentence Length Filter,True,True,True,False,0.9124087591240876,250,274,0.10948905109489052,0.4756862119746312,0.06844639778137207,success
climate_science_policy,No Features,False,False,False,False,0.9087591240875912,249,274,0.11313868613138686,0.4795070461414202,0.045302629470825195,success
cities_and_climate,All Features,True,True,True,True,0.8251748251748252,118,143,0.1958041958041958,0.4876086932800089,33.79693078994751,success
cities_and_climate,No Exponential Scaling,False,True,True,True,0.7902097902097902,113,143,0.23076923076923078,0.5222329678670935,0.023950815200805664,success
cities_and_climate,No Confidence Boost,True,False,True,True,0.7902097902097902,113,143,0.23076923076923078,0.5222329678670935,0.02369546890258789,success
cities_and_climate,No Context Similarity,True,True,False,True,0.8321678321678322,119,143,0.1888111888111888,0.4803844614152614,0.01598358154296875,success
cities_and_climate,No Sentence Length Filter,True,True,True,False,0.8251748251748252,118,143,0.1958041958041958,0.4876086932800089,0.024187564849853516,success
cities_and_climate,No Features,False,False,False,False,0.8321678321678322,119,143,0.1888111888111888,0.4803844614152614,0.016094446182250977,success
cities_and_decarbonization,All Features,True,True,True,True,0.8,220,275,0.2581818181818182,0.6120011883529758,43.10237717628479,success
cities_and_decarbonization,No Exponential Scaling,False,True,True,True,0.7709090909090909,212,275,0.31272727272727274,0.6980492298346351,0.024420976638793945,success
cities_and_decarbonization,No Confidence Boost,True,False,True,True,0.7890909090909091,217,275,0.29454545454545455,0.6849021164304496,0.024278879165649414,success
cities_and_decarbonization,No Context Similarity,True,True,False,True,0.8036363636363636,221,275,0.2545454545454545,0.6090230627070627,0.01631450653076172,success
cities_and_decarbonization,No Sentence Length Filter,True,True,True,False,0.8,220,275,0.2581818181818182,0.6120011883529758,0.024369001388549805,success
cities_and_decarbonization,No Features,False,False,False,False,0.7927272727272727,218,275,0.2909090909090909,0.6822422923379534,0.01621079444885254,success
